"Feature","Type","Parish","GridRef","First","Second","Third","New","LIDAR","Notes","Group","Formation","Member","Reference"
"Scarp",,"Portesham","SY 61348 85864","Outline","Outline",,"Outline",,,"Portland","Portland Sand","Exogyra Beds (Scar Cementstone)","Wilson V et al (1958) pp 126-127"
"Stones below Rocket Quarry",,"Portesham","SY 60659 85886",,"Stones",,"Stones",,"Isolated crags of Exogyra Beds (Scar Cementstone) As the beds swing  round the synclinal axis at Portisham the scar Limestone is hidden???","Portland","Portland Sand","Corton Hill (Exogyra Beds, Scar Cementstone)","Wilson V et al (1958) pp 126-127, Townson WG (1971) pp 50-52"
"Waddon",,"Portesham","SY 61918 86162","Old Quarry","Outline",,"Outline",,,"Purbeck","Lulworth","Worbarrow Tout",
"Waddon",,"Portesham","SY 62052 86186","Old Quarries","Outline",,"Outline",,,"Purbeck","Lulworth","Worbarrow Tout",
"Waddon",,"Portesham","SY 62174 86166","Old Quarries","Outline",,"Outline",,,"Purbeck","Lulworth","Worbarrow Tout",
"Waddon ???Old Chalk Pit???",,"Portesham","SY 61612 86345","Old Chalk Pit","Outline",,"Outline",,,"Purbeck","Lulworth","Worbarrow Tout",
"Waddon Field",,"Portesham","SY 62685 86027","Outline","Outline",,"Outline",,,"Portland and Purbeck","Portland Stone and Lulworth","Portland Freestone, Mupe and Ridgeway",
"Waddon Field",,"Portesham","SY 62936 85961","Outline","Outline (Downs)",,"Outline",,,"Purbeck","Lulworth","Worbarrow Tout",
"Waddon Stones",,"Portesham","SY 62018 85847",,"Stones",,"Stones",,"Outcrop and/or landslip of Portland Sand Cementstone?","Portland","Portland Sand","Exogyra Beds (Scar Cementstone)",
"Moigns Down Chalk Pit","Chalk","Poxwell","SY 74615 84040","Old Chalk Pits","Outline",,"Outline",,"Pit about 450 yds E. of Poxwell Church","White Chalk Subgroup","Seaford Chalk and Newhaven Chalk",,"Arkell WJ (1935) p 275"
"Poxwell",,"Poxwell","SY 74312 83547","Quarry","Quarry",,"Quarry",,"DIGS ","Portland and Purbeck","Portland Stone and Lulworth","Portland Chert, Portland Freestone and Mupe","Arkell WJ (1947) pp 114 &144"
"Poxwell Farm",,"Poxwell","SY 74051 83863","Old Quarries","Old Quarries",,"Disused Quarries",,,"Portland and Purbeck","Portland Stone and Lulworth","Portland Freestone and Mupe",
"Poxwell Farm",,"Poxwell","SY 73912 83832","Old Quarries","Old Quarries",,"Disused Quarries",,,"Portland","Portland Stone","Portland Freestone Member",
"Poxwell Farm",,"Poxwell","SY 73813 83826","Old Quarries","Old Quarries",,"Disused Quarries",,,"Portland","Portland Stone","Portland Freestone Member",
"Poxwell Farm",,"Poxwell","SY 73738 83817","Old Quarries","Old Quarries",,"Disused Quarries",,,"Portland","Portland Stone","Portland Freestone Member",
"Poxwell Farm",,"Poxwell","SY 73858 83856","Old Quarries","Old Quarries",,"Disused Quarries",,,"Portland and Purbeck","Portland Stone and Lulworth","Portland Freestone and Mupe",
"Poxwell Farm",,"Poxwell","SY 73758 83846","Old Quarries","Old Quarries",,"Disused Quarries",,,"Portland and Purbeck","Portland Stone and Lulworth","Portland Freestone and Mupe",
"Poxwell Farm",,"Poxwell","SY 73663 83845","Old Quarries","Old Quarries",,"Disused Quarries",,,"Portland and Purbeck","Portland Stone and Lulworth","Portland Freestone and Mupe",
"Poxwell Farm",,"Poxwell","SY 73625 83828","Old Quarries","Old Quarries",,"Disused Quarries",,,"Portland and Purbeck","Portland Stone and Lulworth","Portland Freestone and Mupe",
"Poxwell Farm",,"Poxwell","SY 73584 83814","Old Quarries","Old Quarries",,"Disused Quarries",,,"Portland and Purbeck","Portland Stone and Lulworth","Portland Freestone and Mupe",
"Poxwell Limekiln","Kiln","Poxwell","SY 74293 83532","Limekiln","Limekiln",,"Outline",,"DIGS ",,,,"Stanier, P (1993)"
"Poxwell Lodge",,"Poxwell","SY 74398 83523","Old Quarry","Old Quarry",,"Disused Quarry",,,"Purbeck","Lulworth","Mupe, Ridgeway and Worbarrow Tout",
"Poxwell Lodge",,"Poxwell","SY 74665 83519","Old Quarry","Old Quarry",,"Disused Quarry",,,"Purbeck","Lulworth","Mupe, Ridgeway and Worbarrow Tout",
"West of road",,"Poxwell","SY 73796 83540","Outline","Outline",,"Outline",,,"Purbeck","Lulworth","Mupe",
"West of road",,"Poxwell","SY 73975 83534","Old Quarries","Old Quarries",,"Disused Quarry ",,"Poxwell SSSI and GCR site","Purbeck","Lulworth","Portland Freestone, Mupe and Worbarrow Tout",
"Near Reservoir",,"Preston (Weymouth)","SY 69897 83390","Old Chalk Pit","Outline","Outline","Outline",,,"Portland","Portland Stone","Portland Freestone",
"Winston",,"Preston (Weymouth)","SY 71026 83276",,,,,"Visible",,"Portland","Portland Stone","Portland Chert",
"East Hill",,"Sutton Poyntz (Weymouth)","SY 70997 84294",,,,,"Visible","...cherty Portland Stone crops out and has been quarried","Portland","Portland Stone","Portland Chert and Portland Freestone","Arkell WJ (1947) p 268"
"Bayard Hill",,"Upwey (Weymouth)","SY 66600 85575","Old Quarry","Outline","Outline","Outline",,,"Purbeck","Lulworth","Worbarrow Tout",
"Bayard Hill",,"Upwey (Weymouth)","SY 66460 85206",,,,,"Visible",,"Purbeck","Lulworth","Mupe and Ridgeway",
"Bayard Hill",,"Upwey (Weymouth)","SY 66675 85102","Old Quarry","Outline","Outline","Outline",,,"Purbeck","Lulworth","Mupe and Ridgeway",
"Bayard Hill",,"Upwey (Weymouth)","SY 66806 85112","Outline","Outline","Outline","Outline",,,"Purbeck","Lulworth","Mupe and Ridgeway",
"Bayard Hill",,"Upwey (Weymouth)","SY 66842 85304","Old Quarry","Outline","Outline","Outline",,,"Purbeck","Durlston","Stair Hole ",
"Bayard Hill",,"Upwey (Weymouth)","SY 66787 85330","Outline","Outline","Outline","Outline",,,"Purbeck","Durlston","Stair Hole ",
"Bayard Hill",,"Upwey (Weymouth)","SY 66712 85333",,"Outline","Outline","Outline",,,"Purbeck","Durlston","Stair Hole ",
"Bayard Hill",,"Upwey (Weymouth)","SY 66694 85226",,"Outline","Outline","Outline",,,"Purbeck","Durlston","Stair Hole ",
"Bayard Hill",,"Upwey (Weymouth)","SY 67062 85347","Old Quarry","Old Quarries","Outline","Outline",,,"Purbeck","Durlston","Stair Hole ",
"Bayard Hill",,"Upwey (Weymouth)","SY 67033 85439",,"Old Quarries","Outline","Outline",,,"Purbeck","Durlston","Stair Hole ",
"Bayard Hill",,"Upwey (Weymouth)","SY 67016 85312",,"Old Quarries","Outline","Outline",,,"Purbeck","Durlston","Stair Hole ",
"Bayard Hill Shooting Gallery",,"Upwey (Weymouth)","SY 66812 85461","Old Quarry","Outline","Outline","Outline",,,"Purbeck","Lulworth","Ridgeway and Worbarrow Tout",
"Goulds Bottom",,"Upwey (Weymouth)","SY 66210 85632","Old Quarries","Outline","Outline","Outline",,,"Purbeck","Durlston","Stair Hole ",
"Goulds Bottom",,"Upwey (Weymouth)","SY 66102 85690","Old Quarries","Outline","Outline","Outline",,,"Purbeck","Durlston","Stair Hole ",
"Goulds Bottom","Chalk","Upwey (Weymouth)","SY 66066 85984","Chalk Pit","Outline","Outline","Outline",,"Chalk Pit 8 of White HJO (1936) Chalk is shattered and extensively slickensided. Dip decreases northwards from 45?? to 15?? in a distance of 15 yads","Chalk (White Chalk Subgroup)","Lewes Nodular Chalk",,"Arkell WJ (1947) p 254"
"Goulds Bottom","Chalk","Upwey (Weymouth)","SY 65909 86025","Chalk Pit","Outline","Outline","Outline",,"Chalk Pit 9 of White HJO (1936) Upper Chalk??? dipping 10??N","Chalk (White Chalk Subgroup)","Seaford Chalk and Newhaven Chalk",,"Arkell WJ (1947) p 254"
"Goulds Bottom","Chalk","Upwey (Weymouth)","SY 66092 86072","Old Chalk Pit","Outline","Outline","Outline",,"Chalk Pit 10 of White HJO (1936) Upper Chalk dipping 4?? or 5??N","Chalk (White Chalk Subgroup)","Seaford Chalk and Newhaven Chalk",,"Arkell WJ (1947) p 254"
"Goulds Bottom (east) Large Quarry",,"Upwey (Weymouth)","SY 66071 85838","Quarry","Outline","Outline","Disused Quarry ",,"Cypris Freestones and higher beds near the Ridgeway Fault. Lower Purbeck Beds dipping 30?? to 50??S. in the northern limb of the syncline. At the northern end of the quarry, perhaps within 20 yds of the fault, the beds flatten to 20???...in addition two minor faults parallel to the major fault, nearby.","Purbeck","Lulworth","Mupe, Ridgeway and Worbarrow Tout","Arkell WJ (1947) pp 145,  251; DERC SY68-66-10?"
"Goulds Bottom (west) Small Quarry",,"Upwey (Weymouth)","SY 65933 85914",,,,,"Visible","Cypris Freestones and higher beds near the Ridgeway Fault. ...a smaller quarry on the opposite side of the valley. This lies within a few yards of the fault and shows the same beds dragged over to dip 60?? to 80??N., a complete reversal of their original southward dip??? at the south end of the quarry the strata are bent in a sharp elbow.","Purbeck","Lulworth","Mupe, Ridgeway and Worbarrow Tout","Arkell WJ (1947) pp 145,  251"
"Ridgeway",,"Upwey (Weymouth)","SY 66988 85071",,"Outline","Outline","Outline","Visible","Mupe Member Reference Section SY 6701 8508?","Portland","Portland Stone","Portland Freestone",
"Ridgeway",,"Upwey (Weymouth)","SY 67040 85170","Quarry","Quarry","Outline","Outline",,"Upwey Quarries and Bincombe Down SSSI and GCR site Mupe Member Reference Section SY 6701 8508?","Purbeck","Lulworth","Mupe, Ridgeway and Worbarrow Tout",
"Ridgeway",,"Upwey (Weymouth)","SY 67177 85200","Old Quarry","Outline","Outline","Outline",,,"Portland","Durlston","Stair Hole ",
"Ridgeway",,"Upwey (Weymouth)","SY 67122 85154","Old Quarries","Old Quarries","Outline","Outline","Visible","Upwey Quarries and Bincombe Down SSSI and GCR site Ridgeway Member SY 6712 8515","Purbeck","Lulworth","Mupe, Ridgeway and Worbarrow Tout","Ridgeway Member Type Section"
"Ridgeway",,"Upwey (Weymouth)","SY 67064 85051","Old Quarries","Old Quarries","Outline","Outline",,,"Portland","Portland Stone","Portland Freestone",
"Ridgeway Limekiln","Kiln","Upwey (Weymouth)","SY 67053 84984","LK","Limekiln","Limekiln","Outline",,,,,,"Stanier, P (1993)"
"Upwey Limekiln ?","Kiln","Upwey (Weymouth)","SY 67099 85024","Outline","Outline","Outline","Outline",,,,,,"Stanier, P (1993)"
"Windsbatch",,"Upwey (Weymouth)","SY 65849 85184","Old Quarry","Outline","Outline","Outline",,"The Lower Pubeck Beds of the south limb have been extensively quarried on Windsbatch, south-west of Upwey Church","Portland and Purbeck","Portland Stone and Lulworth","Portland Freestone and Mupe","Arkell WJ (1947) p 145"
"Windsbatch",,"Upwey (Weymouth)","SY 65406 85251",,"Old Quarries","Outline","Outline",,"The Lower Pubeck Beds of the south limb have been extensively quarried on Windsbatch, south-west of Upwey Church","Purbeck","Lulworth","Mupe","Arkell WJ (1947) p 145"
"Windsbatch",,"Upwey (Weymouth)","SY 65531 85223",,"Old Quarries","Outline","Outline",,"The Lower Pubeck Beds of the south limb have been extensively quarried on Windsbatch, south-west of Upwey Church","Purbeck","Lulworth","Mupe","Arkell WJ (1947) p 145"
"Windsbatch",,"Upwey (Weymouth)","SY 65629 85195",,"Old Quarries","Outline","Outline",,"The Lower Pubeck Beds of the south limb have been extensively quarried on Windsbatch, south-west of Upwey Church","Purbeck","Lulworth","Mupe","Arkell WJ (1947) p 145"
"Windsbatch",,"Upwey (Weymouth)","SY 65733 85174",,"Old Quarries","Outline","Outline",,"The Lower Pubeck Beds of the south limb have been extensively quarried on Windsbatch, south-west of Upwey Church","Purbeck","Lulworth","Mupe","Arkell WJ (1947) p 145"
"Windsbatch Farm",,"Upwey (Weymouth)","SY 65018 85792",,,"Outline","Disused Quarry ","Visible","Second quarry, south of the same (Portesham) road","Purbeck","Durlston","Stair Hole ","Arkell WJ (1947) p 145"
"Yules Farm",,"Upwey (Weymouth)","SY 65724 85560",,,"Outline","Disused Quarry ","Visible","Middle Purbeck flaggy limestones with well-preserved Cyrena (Neomiodon?), near the centre of the syncline","Purbeck","Durlston","Stair Hole ","Arkell WJ (1947) p 145"
